Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id
Finland,1,7.8087,10.6393,0.9543,71.9008,0.9492,-0.0595,0.1954,2020,246
Finland,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019,246
Finland,1,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018,246
Finland,6,7.406,1.2902,1.3183,0.8891,0.6417,0.2335,0.4137,2015,246
Finland,5,7.413,1.406,1.1346,0.8109,0.571,0.2549,0.41,2016,246
Finland,5,7.469,1.4436,1.5402,0.8092,0.618,0.2455,0.3826,2017,246
Denmark,2,7.6456,10.774,0.956,72.4025,0.9514,0.0662,0.1685,2020,208
Denmark,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019,208
Denmark,3,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018,208
Denmark,3,7.527,1.3255,1.3606,0.8746,0.6494,0.3414,0.4836,2015,208
Denmark,1,7.526,1.4418,1.1637,0.795,0.5794,0.3617,0.4445,2016,208
Denmark,2,7.522,1.4824,1.5511,0.7926,0.626,0.3553,0.4008,2017,208
Switzerland,3,7.5599,10.9799,0.9428,74.1024,0.9213,0.1059,0.3037,2020,756
Switzerland,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019,756
Switzerland,5,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018,756
Switzerland,1,7.587,1.3965,1.3495,0.9414,0.6656,0.2968,0.4198,2015,756
Switzerland,2,7.509,1.5273,1.1452,0.863,0.5856,0.2808,0.412,2016,756
Switzerland,4,7.494,1.565,1.5169,0.8581,0.6201,0.2905,0.367,2017,756
Iceland,4,7.5045,10.7726,0.9747,73.0,0.9489,0.2469,0.7117,2020,352
Iceland,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019,352
Iceland,4,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018,352
Iceland,2,7.561,1.3023,1.4022,0.9478,0.6288,0.4363,0.1414,2015,352
Iceland,3,7.501,1.4267,1.1833,0.8673,0.5662,0.4768,0.1498,2016,352
Iceland,3,7.504,1.4806,1.6106,0.8336,0.6272,0.4755,0.1535,2017,352
Norway,5,7.488,11.0878,0.9525,73.2008,0.9558,0.1345,0.2632,2020,578
Norway,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019,578
Norway,2,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018,578
Norway,4,7.522,1.459,1.331,0.8852,0.6697,0.347,0.365,2015,578
Norway,4,7.498,1.5774,1.1269,0.7958,0.5961,0.379,0.3578,2016,578
Norway,1,7.537,1.6165,1.5335,0.7967,0.6354,0.362,0.316,2017,578
Netherlands,6,7.4489,10.8127,0.9391,72.3009,0.9085,0.2076,0.3647,2020,528
Netherlands,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019,528
Netherlands,6,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018,528
Netherlands,7,7.378,1.3294,1.2802,0.8928,0.6158,0.4761,0.3181,2015,528
Netherlands,7,7.339,1.4647,1.0291,0.8123,0.5521,0.4742,0.2993,2016,528
Netherlands,6,7.377,1.5039,1.4289,0.8107,0.5854,0.4705,0.2827,2017,528
Sweden,7,7.3535,10.7588,0.9263,72.6008,0.9391,0.1116,0.2509,2020,752
Sweden,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019,752
Sweden,9,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018,752
Sweden,8,7.364,1.3317,1.2891,0.9109,0.6598,0.3626,0.4384,2015,752
Sweden,10,7.291,1.4518,1.0876,0.8312,0.5822,0.3825,0.4087,2016,752
Sweden,9,7.284,1.4944,1.4782,0.8309,0.6129,0.3854,0.3844,2017,752
New Zealand,8,7.2996,10.5009,0.9491,73.2026,0.9362,0.1916,0.2211,2020,554
New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019,554
New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018,554
New Zealand,9,7.286,1.2502,1.3197,0.9084,0.6394,0.475,0.4292,2015,554
New Zealand,8,7.334,1.3607,1.1728,0.831,0.5815,0.494,0.419,2016,554
New Zealand,8,7.314,1.4057,1.5482,0.8168,0.6141,0.5,0.3828,2017,554
Austria,9,7.2942,10.7428,0.928,73.0025,0.9,0.0854,0.5,2020,40
Austria,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019,40
Austria,12,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018,40
Austria,13,7.2,1.3372,1.297,0.8904,0.6243,0.3309,0.1868,2015,40
Austria,12,7.119,1.4504,1.0838,0.8056,0.5436,0.3286,0.2135,2016,40
Austria,13,7.006,1.4871,1.4599,0.8153,0.5678,0.3165,0.2211,2017,40
Luxembourg,10,7.2375,11.4507,0.9069,72.6,0.9056,-0.0046,0.3671,2020,442
Luxembourg,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019,442
Luxembourg,17,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018,442
Luxembourg,17,6.946,1.5639,1.2196,0.9189,0.6158,0.2803,0.378,2015,442
